@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
3695,'2018/02/18 21:58:53:265',14,0,0,0,64.77,0
3696,'2018/02/18 21:58:53:297',14,0,0,0,64.77,0
3697,'2018/02/18 21:58:53:298',14,0,0,0,64.77,0
3698,'2018/02/18 21:58:53:329',14,0,0,0,64.77,0
3699,'2018/02/18 21:58:53:331',14,0,0,0,64.77,0
3700,'2018/02/18 21:58:53:362',14,0,0,0,64.77,0
3701,'2018/02/18 21:58:53:377',14,0,0,0,64.77,0
3702,'2018/02/18 21:58:53:406',14,0,0,0,64.77,0
3703,'2018/02/18 21:58:53:408',14,0,0,0,64.77,0
3704,'2018/02/18 21:58:53:441',14,0,0,0,64.77,0
3705,'2018/02/18 21:58:53:442',14,0,0,0,64.77,0
3706,'2018/02/18 21:58:53:475',14,0,0,0,64.77,0
3707,'2018/02/18 21:58:53:476',14,0,0,0,64.77,0
3708,'2018/02/18 21:58:53:508',14,0,0,0,64.77,0
3709,'2018/02/18 21:58:53:509',14,0,0,0,64.77,0
3710,'2018/02/18 21:58:53:542',14,0,0,0,64.77,0
3711,'2018/02/18 21:58:53:543',14,0,0,0,64.77,0
3712,'2018/02/18 21:58:53:574',14,0,0,0,64.77,0
3713,'2018/02/18 21:58:53:576',14,0,0,0,64.77,0
3714,'2018/02/18 21:58:53:607',14,0,0,0,64.77,0
3715,'2018/02/18 21:58:53:609',14,0,0,0,64.77,0
3716,'2018/02/18 21:58:53:642',14,0,0,0,64.77,0
3717,'2018/02/18 21:58:53:643',14,0,0,0,64.77,0
3718,'2018/02/18 21:58:53:675',14,0,0,0,64.77,0
3719,'2018/02/18 21:58:53:676',14,0,0,0,64.77,0
3720,'2018/02/18 21:58:53:706',14,0,0,0,64.77,0
3721,'2018/02/18 21:58:53:708',14,0,0,0,64.77,0
3722,'2018/02/18 21:58:53:739',14,0,0,0,64.77,0
3723,'2018/02/18 21:58:53:740',14,0,0,0,64.77,0
3724,'2018/02/18 21:58:53:773',14,0,0,0,64.77,0
3725,'2018/02/18 21:58:53:775',14,0,0,0,64.77,0
3726,'2018/02/18 21:58:53:807',14,0,0,0,64.77,0
3727,'2018/02/18 21:58:53:809',14,0,0,0,64.77,0
3728,'2018/02/18 21:58:53:828',14,0,0,0,64.77,0
3729,'2018/02/18 21:58:53:857',14,0,0,0,64.77,0
3730,'2018/02/18 21:58:53:873',14,0,0,0,64.77,0
3731,'2018/02/18 21:58:53:903',14,0,0,0,64.77,0
3732,'2018/02/18 21:58:53:904',14,0,0,0,64.77,0
3733,'2018/02/18 21:58:53:934',14,0,0,0,64.77,0
3734,'2018/02/18 21:58:53:937',14,0,0,0,64.77,0
3735,'2018/02/18 21:58:53:966',14,0,0,0,64.77,0
3736,'2018/02/18 21:58:53:970',14,0,0,0,64.77,0
3737,'2018/02/18 21:58:54:000',14,0,0,0,64.77,0
3738,'2018/02/18 21:58:54:004',14,0,0,0,64.77,0
3739,'2018/02/18 21:58:54:033',14,0,0,0,64.77,0
3740,'2018/02/18 21:58:54:037',14,0,0,0,64.77,0
3741,'2018/02/18 21:58:54:066',14,0,0,0,64.77,0
3742,'2018/02/18 21:58:54:097',14,0,0,0,64.77,0
3743,'2018/02/18 21:58:54:099',14,0,0,0,64.77,0
3744,'2018/02/18 21:58:54:129',14,0,0,0,64.77,0
3745,'2018/02/18 21:58:54:144',14,0,0,0,64.77,0
3746,'2018/02/18 21:58:54:172',14,0,0,0,64.77,0
3747,'2018/02/18 21:58:54:174',14,0,0,0,64.77,0
3748,'2018/02/18 21:58:54:201',14,0,0,0,64.77,0
3749,'2018/02/18 21:58:54:204',14,0,0,0,64.77,0
3750,'2018/02/18 21:58:54:232',14,0,0,0,64.77,0
3751,'2018/02/18 21:58:54:263',14,0,0,0,64.77,0
3752,'2018/02/18 21:58:54:265',14,0,0,0,64.77,0
3753,'2018/02/18 21:58:54:307',14,0,0,0,64.77,0
3754,'2018/02/18 21:58:54:309',14,0,0,0,64.77,0
3755,'2018/02/18 21:58:54:340',14,0,0,0,64.77,0
3756,'2018/02/18 21:58:54:342',14,0,0,0,64.77,0
3757,'2018/02/18 21:58:54:374',14,0,0,0,64.77,0
3758,'2018/02/18 21:58:54:375',14,0,0,0,64.77,0
3759,'2018/02/18 21:58:54:406',14,0,0,0,64.77,0
3760,'2018/02/18 21:58:54:408',14,0,0,0,64.77,0
3761,'2018/02/18 21:58:54:441',14,0,0,0,64.77,0
3762,'2018/02/18 21:58:54:442',14,0,0,0,64.77,0
3763,'2018/02/18 21:58:54:474',14,0,0,0,64.77,0
3764,'2018/02/18 21:58:54:476',14,0,0,0,64.77,0
3765,'2018/02/18 21:58:54:506',14,0,0,0,64.77,0
3766,'2018/02/18 21:58:54:507',14,0,0,0,64.77,0
3767,'2018/02/18 21:58:54:537',14,0,0,0,64.77,0
3768,'2018/02/18 21:58:54:539',14,0,0,0,64.77,0
3769,'2018/02/18 21:58:54:570',14,0,0,0,64.77,0
3770,'2018/02/18 21:58:54:572',14,0,0,0,64.77,0
3771,'2018/02/18 21:58:54:601',14,0,0,0,64.77,0
3772,'2018/02/18 21:58:54:604',14,0,0,0,64.77,0
3773,'2018/02/18 21:58:54:646',14,0,0,0,64.77,0
3774,'2018/02/18 21:58:54:648',14,0,0,0,64.77,0
3775,'2018/02/18 21:58:54:664',14,0,0,0,64.77,0
3776,'2018/02/18 21:58:54:708',14,0,0,0,64.77,0
3777,'2018/02/18 21:58:54:710',14,0,0,0,64.77,0
3778,'2018/02/18 21:58:54:740',14,0,0,0,64.77,0
3779,'2018/02/18 21:58:54:742',14,0,0,0,64.77,0
3780,'2018/02/18 21:58:54:773',14,0,0,0,64.77,0
3781,'2018/02/18 21:58:54:775',14,0,0,0,64.77,0
3782,'2018/02/18 21:58:54:805',14,0,0,0,64.77,0
3783,'2018/02/18 21:58:54:807',14,0,0,0,64.77,0
3784,'2018/02/18 21:58:54:837',14,0,0,0,64.77,0
3785,'2018/02/18 21:58:54:838',14,0,0,0,64.77,0
3786,'2018/02/18 21:58:54:869',14,0,0,0,64.77,0
3787,'2018/02/18 21:58:54:871',14,0,0,0,64.77,0
3788,'2018/02/18 21:58:54:900',14,0,0,0,64.77,0
3789,'2018/02/18 21:58:54:904',14,0,0,0,64.77,0
3790,'2018/02/18 21:58:54:945',14,0,0,0,64.77,0
3791,'2018/02/18 21:58:54:946',14,0,0,0,64.77,0
3792,'2018/02/18 21:58:54:976',14,0,0,0,64.77,0
3793,'2018/02/18 21:58:54:977',14,0,0,0,64.77,0
3794,'2018/02/18 21:58:55:010',14,0,0,0,64.77,0
3795,'2018/02/18 21:58:55:011',14,0,0,0,64.77,0
3796,'2018/02/18 21:58:55:044',14,0,0,0,64.77,0
3797,'2018/02/18 21:58:55:046',14,0,0,0,64.77,0
3798,'2018/02/18 21:58:55:064',14,0,0,0,64.77,0
3799,'2018/02/18 21:58:55:093',14,0,0,0,64.77,0
3800,'2018/02/18 22:00:51:439',15,123.832291,-195.34111,1039.105713,64.77,25.4
3801,'2018/02/18 22:00:51:473',15,153.083679,-170.262543,998.187866,64.77,25.4
3802,'2018/02/18 22:00:51:475',15,153.083679,-170.262543,998.187866,64.77,25.4
3803,'2018/02/18 22:00:51:507',15,122.969452,-195.990784,1031.543457,64.77,25.4
3804,'2018/02/18 22:00:51:509',15,122.969452,-195.990784,1031.543457,64.77,25.4
3805,'2018/02/18 22:00:51:514',15,122.969452,-195.990784,1031.543457,64.77,25.4
3806,'2018/02/18 22:00:51:541',15,121.71936,-197.272186,1031.964844,64.77,25.4
3807,'2018/02/18 22:00:51:573',15,115.073975,-200.823898,1024.787109,64.77,25.4
3808,'2018/02/18 22:00:51:574',15,115.073975,-200.823898,1024.787109,64.77,25.4
3809,'2018/02/18 22:00:51:607',15,113.032547,-204.567947,1017.037598,64.77,25.4
3810,'2018/02/18 22:00:51:609',15,113.032547,-204.567947,1017.037598,64.77,25.4
3811,'2018/02/18 22:00:51:646',15,111.383308,-205.71579,1015.829834,64.77,25.4
3812,'2018/02/18 22:00:51:647',15,111.383308,-205.71579,1015.829834,64.77,25.4
3813,'2018/02/18 22:00:51:681',15,119.407227,-199.101807,1019.69635,64.77,25.4
3814,'2018/02/18 22:00:51:682',15,119.407227,-199.101807,1019.69635,64.77,25.4
3815,'2018/02/18 22:00:51:715',15,143.310394,-182.514633,981.566101,64.77,25.4
3816,'2018/02/18 22:00:51:717',15,143.310394,-182.514633,981.566101,64.77,25.4
3817,'2018/02/18 22:00:51:749',15,146.207397,-167.949509,996.399719,64.77,25.4
3818,'2018/02/18 22:00:51:750',15,146.207397,-167.949509,996.399719,64.77,25.4
3819,'2018/02/18 22:00:51:782',15,144.550049,-160.474197,1000.337463,64.77,25.4
3820,'2018/02/18 22:00:51:784',15,144.550049,-160.474197,1000.337463,64.77,25.4
3821,'2018/02/18 22:00:51:816',15,144.136414,-166.285339,991.436646,64.77,25.4
3822,'2018/02/18 22:00:51:817',15,144.136414,-166.285339,991.436646,64.77,25.4
3823,'2018/02/18 22:00:51:850',15,144.796768,-159.156403,994.925049,64.77,25.4
3824,'2018/02/18 22:00:51:852',15,144.796768,-159.156403,994.925049,64.77,25.4
3825,'2018/02/18 22:00:51:873',15,144.469284,-167.571335,997.156006,64.77,25.4
3826,'2018/02/18 22:00:51:904',15,142.68042,-168.846558,993.390869,64.77,25.4
3827,'2018/02/18 22:00:51:919',15,142.68042,-168.846558,993.390869,64.77,25.4
3828,'2018/02/18 22:00:51:955',15,135.970779,-176.353516,988.612549,64.77,25.4
3829,'2018/02/18 22:00:51:956',15,135.970779,-176.353516,988.612549,64.77,25.4
3830,'2018/02/18 22:00:51:976',15,130.443817,-183.286728,985.274536,64.77,25.4
3831,'2018/02/18 22:00:51:981',15,130.443817,-183.286728,985.274536,64.77,25.4
3832,'2018/02/18 22:00:52:011',15,83.978592,-204.477859,1013.1922,64.77,25.4
3833,'2018/02/18 22:00:52:015',15,83.978592,-204.477859,1013.1922,64.77,25.4
3834,'2018/02/18 22:00:52:046',15,90.763733,-204.941376,1019.469604,64.77,25.4
3835,'2018/02/18 22:00:52:048',15,90.763733,-204.941376,1019.469604,64.77,25.4
